USER           PID  PPID     VSZ    RSS WCHAN  PC S NAME                        COMM                       
root             1     0   64612  12308 do_epoll_wait 0 S init                  init
root             2     0       0      0 kthreadd 0 S [kthreadd]                 2
root             3     2       0      0 rescuer_thread 0 I [rcu_gp]             3
root             4     2       0      0 rescuer_thread 0 I [rcu_par_gp]         4
root             6     2       0      0 worker_thread 0 I [kworker/0:0H-events_highpri] 6
root             9     2       0      0 rescuer_thread 0 I [mm_percpu_wq]       9
root            10     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/0]     1
root            11     2       0      0 rcu_gp_kthread 0 I [rcu_preempt]        1
root            12     2       0      0 rcu_gp_kthread 0 I [rcu_sched]          1
root            13     2       0      0 rcu_gp_kthread 0 I [rcu_bh]             1
root            14     2       0      0 rcu_nocb_kthread 0 S [rcuop/0]          1
root            15     2       0      0 rcu_nocb_kthread 0 S [rcuos/0]          1
root            16     2       0      0 rcu_nocb_kthread 0 S [rcuob/0]          1
root            17     2       0      0 smpboot_thread_fn 0 S [migration/0]     1
root            18     2       0      0 smpboot_thread_fn 0 S [cpuhp/0]         1
root            19     2       0      0 smpboot_thread_fn 0 S [cpuhp/1]         1
root            20     2       0      0 smpboot_thread_fn 0 S [migration/1]     2
root            21     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/1]     2
root            23     2       0      0 worker_thread 0 I [kworker/1:0H-events_highpri] 2
root            24     2       0      0 rcu_nocb_kthread 0 S [rcuop/1]          2
root            25     2       0      0 rcu_nocb_kthread 0 S [rcuos/1]          2
root            26     2       0      0 rcu_nocb_kthread 0 S [rcuob/1]          2
root            27     2       0      0 smpboot_thread_fn 0 S [cpuhp/2]         2
root            28     2       0      0 smpboot_thread_fn 0 S [migration/2]     2
root            29     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/2]     2
root            31     2       0      0 worker_thread 0 I [kworker/2:0H-events_highpri] 3
root            32     2       0      0 rcu_nocb_kthread 0 S [rcuop/2]          3
root            33     2       0      0 rcu_nocb_kthread 0 S [rcuos/2]          3
root            34     2       0      0 rcu_nocb_kthread 0 S [rcuob/2]          3
root            35     2       0      0 smpboot_thread_fn 0 S [cpuhp/3]         3
root            36     2       0      0 smpboot_thread_fn 0 S [migration/3]     3
root            37     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/3]     3
root            39     2       0      0 worker_thread 0 I [kworker/3:0H-events_highpri] 3
root            40     2       0      0 rcu_nocb_kthread 0 S [rcuop/3]          4
root            41     2       0      0 rcu_nocb_kthread 0 S [rcuos/3]          4
root            42     2       0      0 rcu_nocb_kthread 0 S [rcuob/3]          4
root            43     2       0      0 smpboot_thread_fn 0 S [cpuhp/4]         4
root            44     2       0      0 smpboot_thread_fn 0 S [migration/4]     4
root            45     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/4]     4
root            47     2       0      0 worker_thread 0 I [kworker/4:0H-events_highpri] 4
root            48     2       0      0 rcu_nocb_kthread 0 S [rcuop/4]          4
root            49     2       0      0 rcu_nocb_kthread 0 S [rcuos/4]          4
root            50     2       0      0 rcu_nocb_kthread 0 S [rcuob/4]          5
root            51     2       0      0 smpboot_thread_fn 0 S [cpuhp/5]         5
root            52     2       0      0 smpboot_thread_fn 0 S [migration/5]     5
root            53     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/5]     5
root            55     2       0      0 worker_thread 0 I [kworker/5:0H-events_highpri] 5
root            56     2       0      0 rcu_nocb_kthread 0 S [rcuop/5]          5
root            57     2       0      0 rcu_nocb_kthread 0 S [rcuos/5]          5
root            58     2       0      0 rcu_nocb_kthread 0 S [rcuob/5]          5
root            59     2       0      0 smpboot_thread_fn 0 S [cpuhp/6]         5
root            60     2       0      0 smpboot_thread_fn 0 S [migration/6]     6
root            61     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/6]     6
root            63     2       0      0 worker_thread 0 I [kworker/6:0H-events_highpri] 6
root            64     2       0      0 rcu_nocb_kthread 0 S [rcuop/6]          6
root            65     2       0      0 rcu_nocb_kthread 0 S [rcuos/6]          6
root            66     2       0      0 rcu_nocb_kthread 0 S [rcuob/6]          6
root            67     2       0      0 smpboot_thread_fn 0 S [cpuhp/7]         6
root            68     2       0      0 smpboot_thread_fn 0 S [migration/7]     6
root            69     2       0      0 smpboot_thread_fn 0 S [ksoftirqd/7]     6
root            71     2       0      0 worker_thread 0 I [kworker/7:0H-events_highpri] 7
root            72     2       0      0 rcu_nocb_kthread 0 S [rcuop/7]          7
root            73     2       0      0 rcu_nocb_kthread 0 S [rcuos/7]          7
root            74     2       0      0 rcu_nocb_kthread 0 S [rcuob/7]          7
root            75     2       0      0 rescuer_thread 0 I [netns]              7
root            76     2       0      0 rescuer_thread 0 I [wakelock_printk]    7
root            77     2       0      0 rcu_tasks_kthread 0 S [rcu_tasks_kthre] 7
root            78     2       0      0 kthread_worker_fn 0 S [kworker/st10:0]  7
root            79     2       0      0 kauditd_thread 0 S [kauditd]            7
root            88     2       0      0 rescuer_thread 0 I [ipa_usb_wq]         8
root            90     2       0      0 watchdog_kthread 0 S [msm_watchdog]     9
root            91     2       0      0 kthread_worker_fn 0 S [qmp_aop]         9
root            92     2       0      0 watchdog 0 S [khungtaskd]               9
root            93     2       0      0 oom_reaper 0 S [oom_reaper]             9
root            94     2       0      0 rescuer_thread 0 I [writeback]          9
root            95     2       0      0 kcompactd 0 S [kcompactd0]              9
root            96     2       0      0 rescuer_thread 0 I [crypto]             9
root            97     2       0      0 rescuer_thread 0 I [kblockd]            9
root            98     2       0      0 irq_thread 0 S [irq/120-arm-smm]        9
root            99     2       0      0 irq_thread 0 S [irq/258-capture]        9
root           100     2       0      0 irq_thread 0 S [irq/259-capture]        1
root           101     2       0      0 irq_thread 0 S [irq/129-arm-smm]        1
root           102     2       0      0 irq_thread 0 S [irq/260-capture]        1
root           103     2       0      0 irq_thread 0 S [irq/261-capture]        1
root           104     2       0      0 irq_thread 0 S [irq/262-capture]        1
root           105     2       0      0 irq_thread 0 S [irq/263-capture]        1
root           106     2       0      0 irq_thread 0 S [irq/264-capture]        1
root           107     2       0      0 irq_thread 0 S [irq/265-capture]        1
root           108     2       0      0 irq_thread 0 S [irq/266-capture]        1
root           109     2       0      0 irq_thread 0 S [irq/267-capture]        1
root           111     2       0      0 irq_thread 0 S [irq/12-tsens-up]        1
root           112     2       0      0 irq_thread 0 S [irq/13-tsens-cr]        1
root           113     2       0      0 irq_thread 0 S [irq/14-tsens-0C]        1
root           114     2       0      0 irq_thread 0 S [irq/15-tsens-up]        1
root           115     2       0      0 irq_thread 0 S [irq/16-tsens-cr]        1
root           116     2       0      0 irq_thread 0 S [irq/17-tsens-0C]        1
root           117     2       0      0 rescuer_thread 0 I [edac-poller]        1
root           118     2       0      0 ion_sys_heap_worker 0 S [ion-pool-uncach] 1
root           119     2       0      0 ion_sys_heap_worker 0 S [ion-pool-cached] 1
root           120     2       0      0 ion_heap_deferred_free 0 S [system]     1
root           121     2       0      0 rescuer_thread 0 I [ipa_power_mgmt]     1
root           122     2       0      0 rescuer_thread 0 I [transport_power]    1
root           123     2       0      0 rescuer_thread 0 I [ipa_pm_activate]    1
root           124     2       0      0 irq_thread 0 S [irq/132-arm-smm]        1
root           125     2       0      0 irq_thread 0 S [irq/134-arm-smm]        1
root           126     2       0      0 irq_thread 0 S [irq/135-arm-smm]        1
root           127     2       0      0 rescuer_thread 0 I [devfreq_wq]         1
root           128     2       0      0 rescuer_thread 0 I [governor_msm_ad]    1
root           129     2       0      0 irq_thread 0 S [irq/136-arm-smm]        1
root           131     2       0      0 irq_thread 0 S [irq/137-arm-smm]        1
root           132     2       0      0 rescuer_thread 0 I [cfg80211]           1
root           169     2       0      0 panic_flush_thread 0 D [panic_flush]    1
root           170     2       0      0 kswapd  0 S [kswapd0]                   1
root           171     2       0      0 ecryptfs_threadfn 0 S [ecryptfs-kthrea] 1
root           209     2       0      0 irq_thread 0 S [irq/138-arm-smm]        2
root           210     2       0      0 irq_thread 0 S [irq/139-arm-smm]        2
root           211     2       0      0 irq_thread 0 S [irq/210-smp2p]          2
root           212     2       0      0 irq_thread 0 S [irq/211-smp2p]          2
root           213     2       0      0 irq_thread 0 S [irq/212-smp2p]          2
root           214     2       0      0 rescuer_thread 0 I [mem_share_svc]      2
root           215     2       0      0 irq_thread 0 S [irq/140-arm-smm]        2
root           216     2       0      0 add_hwgenerator_randomness 0 S [hwrng]  2
root           218     2       0      0 rescuer_thread 0 I [diag_real_time_]    2
root           219     2       0      0 rescuer_thread 0 I [diag_wq]            2
root           220     2       0      0 rescuer_thread 0 I [DIAG_USB_diag]      2
root           221     2       0      0 rescuer_thread 0 I [diag_cntl_wq]       2
root           222     2       0      0 rescuer_thread 0 I [diag_dci_wq]        2
root           223     2       0      0 rescuer_thread 0 I [MODEM_CNTL]         2
root           224     2       0      0 rescuer_thread 0 I [MODEM_DATA]         2
root           225     2       0      0 rescuer_thread 0 I [MODEM_CMD]          2
root           226     2       0      0 rescuer_thread 0 I [MODEM_DCI]          2
root           227     2       0      0 rescuer_thread 0 I [MODEM_DCI_CMD]      2
root           228     2       0      0 rescuer_thread 0 I [LPASS_CNTL]         2
root           229     2       0      0 rescuer_thread 0 I [LPASS_DATA]         2
root           230     2       0      0 rescuer_thread 0 I [LPASS_CMD]          2
root           231     2       0      0 rescuer_thread 0 I [LPASS_DCI]          2
root           232     2       0      0 rescuer_thread 0 I [LPASS_DCI_CMD]      2
root           233     2       0      0 rescuer_thread 0 I [WCNSS_CNTL]         2
root           234     2       0      0 rescuer_thread 0 I [WCNSS_DATA]         2
root           235     2       0      0 rescuer_thread 0 I [WCNSS_CMD]          2
root           236     2       0      0 rescuer_thread 0 I [WCNSS_DCI]          2
root           237     2       0      0 rescuer_thread 0 I [WCNSS_DCI_CMD]      2
root           238     2       0      0 rescuer_thread 0 I [SENSORS_CNTL]       2
root           239     2       0      0 rescuer_thread 0 I [SENSORS_DATA]       2
root           240     2       0      0 rescuer_thread 0 I [SENSORS_CMD]        2
root           241     2       0      0 rescuer_thread 0 I [SENSORS_DCI]        2
root           242     2       0      0 rescuer_thread 0 I [SENSORS_DCI_CMD]    2
